geneENSTID	geneName	geneEntrezID	geneUniProtID
ENSMUSG00000027298	Tyro3	22174	P55144
ENSMUSG00000052423	B4galt3	57370	Q91YY2
ENSMUSG00000033705	Stard9	668880	Q80TF6
ENSMUSG00000023832	Acat2	110460	Q8CAY6
ENSMUSG00000027952	Pmvk	68603	Q9D1G2
ENSMUSG00000002688	Prkd1	18760	Q62101
ENSMUSG00000002997	Prkar2b	19088	P31324
ENSMUSG00000026113	Inpp4a	269180	
ENSMUSG00000024948	Map4k2	26412	Q61161
ENSMUSG00000023032	Slc4a8	59033	Q8JZR6
ENSMUSG00000046402	Rbp1	19659	Q00915
ENSMUSG00000039231	Suv39h1	20937	O54864
ENSMUSG00000041534	Rbp3	19661	
ENSMUSG00000018770	Atp5g3	228033	P56384
ENSMUSG00000037771	Slc32a1	22348	O35633
ENSMUSG00000027130	Slc12a6	107723	Q924N4
ENSMUSG00000003518	Dusp3	72349	Q9D7X3
ENSMUSG00000022462	Slc38a2	67760	Q8CFE6
ENSMUSG00000033735	Spr	20751	
ENSMUSG00000037990	Sh3rf3	237353	Q8C120
ENSMUSG00000054733	Msra	110265	Q9D6Y7
ENSMUSG00000052833	Sae1	56459	Q9R1T2
ENSMUSG00000025815	Dhtkd1	209692	A2ATU0
ENSMUSG00000020990	Cdkl1	71091	Q8CEQ0
ENSMUSG00000063849	Ppcdc	66812	Q8BZB2
ENSMUSG00000022229	Atp12a	192113	Q9Z1W8
ENSMUSG00000061126	Cyp4f39	320997	
ENSMUSG00000038145	Snrk	20623	Q8VDU5
ENSMUSG00000022092	Ppp3cc	19057	P48455
ENSMUSG00000025465	Echs1	93747	Q8BH95
ENSMUSG00000027615	Hps3	12807	Q91VB4
ENSMUSG00000030697	Ppp4c	56420	P97470
ENSMUSG00000063268	Parp10	671535	Q8CIE4
ENSMUSG00000038379	Ttk	22137	P35761
ENSMUSG00000020774	Aspa	11484	Q8R3P0
ENSMUSG00000024210	Ip6k3	271424	Q8BWD2
ENSMUSG00000059481	Plg	18815	P20918
ENSMUSG00000017453	Pipox	19193	Q9D826
ENSMUSG00000030409	Dmpk	13400	P54265
ENSMUSG00000021123	Rdh12	77974	Q8BYK4
ENSMUSG00000022263	Trio	223435	Q0KL02
ENSMUSG00000023805	Synj2	20975	Q9D2G5
ENSMUSG00000025175	Fn3k	63828	Q9ER35
ENSMUSG00000009995	Taz	66826	
ENSMUSG00000037685	Atp8a1	11980	P70704
ENSMUSG00000028886	Eya3	14050	P97480
ENSMUSG00000013736	Trnt1	70047	Q8K1J6
ENSMUSG00000027695	Pld1	18805	
ENSMUSG00000020022	Ndufa12	66414	Q7TMF3
ENSMUSG00000042642	Flad1	319945	Q8R123
ENSMUSG00000043411	Usp48	170707	Q3V0C5
ENSMUSG00000061292	Cyp3a59	100041449	
ENSMUSG00000031391	L1cam	16728	
ENSMUSG00000035878	Hykk	235386	Q5U5V2
ENSMUSG00000032316	Clk3	102414	O35492
ENSMUSG00000042046	Dstyk	213452	Q6XUX1
ENSMUSG00000029500	Pgam5	72542	Q8BX10
ENSMUSG00000000399	Ndufa9	66108	Q9DC69
ENSMUSG00000021606	Ndufs6	407785	P52503
ENSMUSG00000004815	Dgkq	110524	Q6P5E8
ENSMUSG00000061718	Ppp1r1b	19049	Q60829
ENSMUSG00000027893	Ahcyl1	229709	Q80SW1
ENSMUSG00000038028	Tigar	319801	Q8BZA9
ENSMUSG00000023021	Cers5	71949	Q9D6K9
ENSMUSG00000031969	Acad8	66948	
ENSMUSG00000022555	Dgat1	13350	Q9Z2A7
ENSMUSG00000030978	Rrm1	20133	P07742
ENSMUSG00000017778	Cox7c	12867	P17665
ENSMUSG00000023912	Slc25a27	74011	
ENSMUSG00000021536	Adcy2	210044	
ENSMUSG00000006711	D130043K22Rik	210108	Q5SZV5
ENSMUSG00000054517	Trim65	338364	Q8BFW4
ENSMUSG00000052139	Babam2	107976	Q8K3W0
ENSMUSG00000052310	Slc39a1	30791	Q9QZ03
ENSMUSG00000021263	Degs2	70059	Q8R2F2
ENSMUSG00000047583	Tyw3	209584	Q8BSA9
ENSMUSG00000109324	Prmt1	15469	Q9JIF0
ENSMUSG00000036110	Slc17a2	218103	Q5SZA1
ENSMUSG00000052392	Acot4	171282	Q8BWN8
ENSMUSG00000044795	Cyb5d1	327951	Q5NCY3
ENSMUSG00000032462	Pik3cb	74769	Q8BTI9
ENSMUSG00000032079	Apoa5	66113	Q8C7G5
ENSMUSG00000072941	Sod3	20657	O09164
ENSMUSG00000029344	Tpst2	22022	O88856
ENSMUSG00000028706	Nsun4	72181	Q9CZ57
ENSMUSG00000023019	Gpd1	14555	P13707
ENSMUSG00000028525	Pde4b	18578	
ENSMUSG00000020029	Nudt4	71207	Q8R2U6
ENSMUSG00000071711	Mpst	246221	Q99J99
ENSMUSG00000079012	Serpina3m	20717	Q03734
ENSMUSG00000032327	Stra6	20897	
ENSMUSG00000032527	Pccb	66904	Q99MN9
ENSMUSG00000030935	Acsm3	20216	Q3UNX5
ENSMUSG00000026820	Ptges2	96979	Q8BWM0
ENSMUSG00000045100	Slc25a26	67582	Q5U680
ENSMUSG00000074852	Hpse2	545291	B2RY83
ENSMUSG00000003528	Slc25a1	13358	Q8JZU2
ENSMUSG00000035824	Tk2	57813	
ENSMUSG00000027365	Trpm7	58800	Q923J1
ENSMUSG00000020828	Pld2	18806	P97813
ENSMUSG00000015478	Rnf5	54197	O35445
ENSMUSG00000005640	Insrr	23920	Q9WTL4
ENSMUSG00000036880	Acaa2	52538	Q8BWT1
ENSMUSG00000030108	Slc6a13	14412	P31649
ENSMUSG00000079608	Stard6	170461	P59096
ENSMUSG00000019370	Calm3	12315	P0DP28
ENSMUSG00000028186	Uox	22262	P25688
ENSMUSG00000012777	Acp4	100503991	D3YTS9
ENSMUSG00000021668	Polk	27015	Q9QUG2
ENSMUSG00000024981	Acsl5	433256	Q8JZR0
ENSMUSG00000025153	Fasn	14104	P19096
ENSMUSG00000028405	Aco1	11428	P28271
ENSMUSG00000035285	Nat14	269854	Q8BVG8
ENSMUSG00000032263	Bckdhb	12040	Q6P3A8
ENSMUSG00000028403	Zdhhc21	68268	Q9D270
ENSMUSG00000021428	Riok1	71340	Q922Q2
ENSMUSG00000043257	Pigv	230801	Q7TPN3
ENSMUSG00000001999	Blvra	109778	Q9CY64
ENSMUSG00000041731	Pgm5	226041	Q8BZF8
ENSMUSG00000045019	Acer1	171168	Q8R4X1
ENSMUSG00000036737	Oxsr1	108737	Q6P9R2
ENSMUSG00000026645	Olah	99035	Q8R197
ENSMUSG00000042717	Ppp1r3a	140491	Q99MR9
ENSMUSG00000021033	Gstz1	14874	Q9WVL0
ENSMUSG00000029687	Ezh2	14056	Q61188
ENSMUSG00000035472	Slc25a21	217593	Q8BZ09
ENSMUSG00000034452	Slc24a1	214111	
ENSMUSG00000002010	Idh3g	15929	P70404
ENSMUSG00000030004	Nat8	68396	Q9JIY7
ENSMUSG00000020474	Polm	54125	Q9JIW4
ENSMUSG00000032437	Stt3b	68292	
ENSMUSG00000027452	Acss1	68738	Q99NB1
ENSMUSG00000035930	Chst4	26887	
ENSMUSG00000021477	Ctsl	13039	P06797
ENSMUSG00000018900	Slc22a5	20520	Q9Z0E8
ENSMUSG00000029263	Pigg	433931	
ENSMUSG00000033364	Usp37	319651	Q8C0R0
ENSMUSG00000054640	Slc8a1	20541	
ENSMUSG00000034403	Pja1	18744	O55176
ENSMUSG00000024413	Npc1	18145	O35604
ENSMUSG00000029695	Aass	30956	Q99K67
ENSMUSG00000028636	Ppcs	106564	Q8VDG5
ENSMUSG00000042632	Pla2g6	53357	P97819
ENSMUSG00000064345	mt-Nd2	17717	P03893
ENSMUSG00000038155	Gstp2	14869	P46425
ENSMUSG00000031604	Msmo1	66234	Q9CRA4
ENSMUSG00000032599	Ip6k2	76500	Q80V72
ENSMUSG00000027395	Polr1b	20017	P70700
ENSMUSG00000021238	Aldh6a1	104776	Q9EQ20
ENSMUSG00000022637	Cblb	208650	Q3TTA7
ENSMUSG00000001891	Ugp2	216558	Q91ZJ5
ENSMUSG00000009630	Ppp2cb	19053	P62715
ENSMUSG00000031833	Mast3	546071	Q3U214
ENSMUSG00000032216	Nedd4	17999	P46935
ENSMUSG00000054568	Usp17la	13531	Q61068
ENSMUSG00000020525	Ppm1d	53892	Q9QZ67
ENSMUSG00000032123	Dpagt1	13478	P42867
ENSMUSG00000021148	Gm9745		Q8BFZ6
ENSMUSG00000031671	Setd6	66083	Q9CWY3
ENSMUSG00000028651	Ppie	56031	Q9QZH3
ENSMUSG00000049300	Prmt6	99890	Q6NZB1
ENSMUSG00000000916	Nsun5	100609	Q8K4F6
ENSMUSG00000019989	Enpp3	209558	Q6DYE8
ENSMUSG00000053687	Dpep2	319446	Q8C255
ENSMUSG00000033192	Lpcat2	270084	Q8BYI6
ENSMUSG00000026490	Cdc42bpa	226751	Q3UU96
ENSMUSG00000032715	Trib3	228775	Q8K4K2
ENSMUSG00000015981	Stk32c	57740	Q8QZV4
ENSMUSG00000021773	Comtd1	69156	Q8BIG7
ENSMUSG00000005161	Prdx2	21672	Q61171
ENSMUSG00000028713	Cyp4b1	13120	Q64462
ENSMUSG00000035596	Mboat7	77582	Q8CHK3
ENSMUSG00000009292	Trpm2	28240	Q91YD4
ENSMUSG00000025894	Aasdhppt	67618	Q9CQF6
ENSMUSG00000032330	Cox7a2	12866	P48771
ENSMUSG00000030682	Cdipt	52858	Q8VDP6
ENSMUSG00000061751	Kalrn	545156	A2CG49
ENSMUSG00000038822	Hace1	209462	Q3U0D9
ENSMUSG00000046441	Cmtr2	234728	Q8BWQ4
ENSMUSG00000046338	Gpat2	215456	Q14DK4
ENSMUSG00000006731	B4galnt1	14421	Q09200
ENSMUSG00000021340	Gpld1	14756	
ENSMUSG00000029780	Nt5c3	107569	Q9D020
ENSMUSG00000015757	Ppil4	67418	Q9CXG3
ENSMUSG00000031530	Dusp4	319520	Q8BFV3
ENSMUSG00000026856	Dolpp1	57170	Q9JMF7
ENSMUSG00000038567	Cyp24a1	13081	Q64441
ENSMUSG00000037742	Eef1a1	13627	P10126
ENSMUSG00000067231	Cyp2c65	72303	
ENSMUSG00000025495	Ptdss2	27388	Q9Z1X2
ENSMUSG00000004667	Polr2e	66420	Q80UW8
ENSMUSG00000001583	Tnk1	83813	Q99ML2
ENSMUSG00000027792	Bche	12038	Q03311
ENSMUSG00000027018	Hat1	107435	Q8BY71
ENSMUSG00000021417	Eci2	23986	Q9WUR2
ENSMUSG00000078429	Ctdsp2	52468	Q8BX07
ENSMUSG00000041836	Ptpre	19267	P49446
ENSMUSG00000029922	Mkrn1	54484	Q9QXP6
ENSMUSG00000051527	Usp29	57775	Q9ES63
ENSMUSG00000040385	Ppp1ca	19045	P62137
ENSMUSG00000033342	Plppr5	75769	Q8BJ52
ENSMUSG00000038425	Poli	26447	
ENSMUSG00000032252	Glce	93683	Q9EPS3
ENSMUSG00000028127	Abcd3	19299	P55096
ENSMUSG00000044788	Fads6	328035	Q80UG1
ENSMUSG00000024887	Asah2	54447	Q9JHE3
ENSMUSG00000062393	Dgkk	331374	
ENSMUSG00000058908	Pla2g2a	18780	
ENSMUSG00000036073	Galt	14430	
ENSMUSG00000029458	Brap	72399	Q99MP8
ENSMUSG00000110195	Pde2a	207728	Q922S4
ENSMUSG00000089872	Rps6kc1	320119	Q8BLK9
ENSMUSG00000021273	Fdft1	14137	P53798
ENSMUSG00000030602	Pak4	70584	Q8BTW9
ENSMUSG00000027330	Cdc25b	12531	P30306
ENSMUSG00000028771	Ptpn12	19248	P35831
ENSMUSG00000028854	Slc9a1	20544	Q61165
ENSMUSG00000024644	Cndp2	66054	Q9D1A2
ENSMUSG00000022033	Pbk	52033	Q9JJ78
ENSMUSG00000038963	Slco4a1	108115	Q8K078
ENSMUSG00000031376	Atp2b3	320707	
ENSMUSG00000029038	Ssu72	68991	Q9CY97
ENSMUSG00000047496	Rnf152	320311	Q8BG47
ENSMUSG00000028661	Epha8	13842	O09127
ENSMUSG00000026384	Ptpn4	19258	Q9WU22
ENSMUSG00000020700	Map3k3	26406	Q61084
ENSMUSG00000025557	Slc15a1	56643	Q9JIP7
ENSMUSG00000033965	Slc16a2	20502	O70324
ENSMUSG00000029397	Rchy1	68098	Q9CR50
ENSMUSG00000049751	Rpl36al	66483	P83882
ENSMUSG00000024620	Pdgfrb	18596	P05622
ENSMUSG00000064370	mt-Cytb	17711	P00158
ENSMUSG00000022425	Enpp2	18606	Q9R1E6
ENSMUSG00000036822	Topors	106021	Q80Z37
ENSMUSG00000031478	Nek3	23954	Q9R0A5
ENSMUSG00000017307	Acot8	170789	P58137
ENSMUSG00000025791	Pgm1	72157	Q9D0F9
ENSMUSG00000030302	Atp2b2	11941	Q9R0K7
ENSMUSG00000024998	Plce1	74055	Q8K4S1
ENSMUSG00000051730	Mettl5	75422	Q8K1A0
ENSMUSG00000027890	Gstm4	14865	Q8R5I6
ENSMUSG00000026623	Lpgat1	226856	Q91YX5
ENSMUSG00000034617	Mtrr	210009	
ENSMUSG00000025745	Hadha	97212	Q8BMS1
ENSMUSG00000028948	Nol9	74035	Q3TZX8
ENSMUSG00000021130	Galnt16	108760	Q9JJ61
ENSMUSG00000026596	Abl2	11352	
ENSMUSG00000015806	Qdpr	110391	Q8BVI4
ENSMUSG00000018846	Pank3	211347	Q8R2W9
ENSMUSG00000060733	Ipmk	69718	Q7TT16
ENSMUSG00000022836	Mylk	107589	Q6PDN3
ENSMUSG00000026604	Ptpn14	19250	Q62130
ENSMUSG00000036814	Slc6a20a	102680	Q8VDB9
ENSMUSG00000051650	B3gnt2	53625	Q9Z222
ENSMUSG00000020802	Ube2o	217342	Q6ZPJ3
ENSMUSG00000023249	Parp3	235587	Q3ULW8
ENSMUSG00000015214	Mtmr1	53332	Q9Z2C4
ENSMUSG00000026807	Ak8	68870	Q32M07
ENSMUSG00000067370	B3galt4	54218	Q9Z0F0
ENSMUSG00000075707	Dio3	107585	Q91ZI8
ENSMUSG00000028541	B4galt2	53418	Q9Z2Y2
ENSMUSG00000020062	Slc5a8	216225	Q8BYF6
ENSMUSG00000033379	Atp6v0b	114143	Q91V37
ENSMUSG00000029246	Ppat	231327	
ENSMUSG00000024757	Slc22a19	207151	Q8VCA0
ENSMUSG00000039194	Rlbp1	19771	Q9Z275
ENSMUSG00000029147	Ppm1g	14208	Q61074
ENSMUSG00000004267	Eno2	13807	P17183
ENSMUSG00000024782	Ak3	56248	Q9WTP7
ENSMUSG00000027804	Ppid	67738	Q9CR16
ENSMUSG00000022899	Slc15a2	57738	
ENSMUSG00000057230	Aak1	269774	Q3UHJ0
ENSMUSG00000027977	Ndst3	83398	Q9EQH7
ENSMUSG00000033985	Tesk2	230661	Q8VCT9
ENSMUSG00000022561	Gpaa1	14731	Q9WTK3
ENSMUSG00000020937	Plcd3	72469	Q8K2J0
ENSMUSG00000046207	Pik3r6	104709	Q3U6Q4
ENSMUSG00000047250	Ptgs1	19224	P22437
ENSMUSG00000037628	Cdkn3	72391	Q810P3
ENSMUSG00000041528	Rnf123	84585	Q5XPI3
ENSMUSG00000040774	Cept1	99712	Q8BGS7
ENSMUSG00000092300	Cdk3		
ENSMUSG00000033910	Gucy1a1	60596	Q9ERL9
ENSMUSG00000038967	Pdk2	18604	Q9JK42
ENSMUSG00000032373	Car12	76459	
ENSMUSG00000038240	Pdss2	71365	Q33DR3
ENSMUSG00000027209	Fam227b	75823	Q9D518
ENSMUSG00000037847	Nmrk1	225994	Q91W63
ENSMUSG00000024254	Abcg8	67470	Q9DBM0
ENSMUSG00000025949	Pikfyve	18711	Q9Z1T6
ENSMUSG00000032207	Lipc	15450	P27656
ENSMUSG00000072944	Nup62cl	279706	
ENSMUSG00000030930	Chst15	77590	Q91XQ5
ENSMUSG00000031642	Sh3rf1	59009	
ENSMUSG00000035376	Hacd2	70757	Q9D3B1
ENSMUSG00000026567	Adcy10	271639	Q8C0T9
ENSMUSG00000026827	Gpd2	14571	Q64521
ENSMUSG00000017868	Sgk2	27219	Q9QZS5
ENSMUSG00000036775	Decr2	26378	Q9WV68
ENSMUSG00000004552	Ctse	13034	P70269
ENSMUSG00000023259	Slc26a6	171429	Q8CIW6
ENSMUSG00000029062	Cdk11b	12537	P24788
ENSMUSG00000038764	Ptpn3	545622	A2ALK8
ENSMUSG00000027610	Gss	14854	P51855
ENSMUSG00000041313	Slc7a1	11987	Q09143
ENSMUSG00000021577	Sdha	66945	Q8K2B3
ENSMUSG00000031948	Kars	85305	Q99MN1
ENSMUSG00000026977	Marchf7	57438	Q9WV66
ENSMUSG00000031537	Ikbkb	16150	
ENSMUSG00000034371	Tkfc	225913	Q8VC30
ENSMUSG00000027248	Pdia3	14827	P27773
ENSMUSG00000031891	Hsd11b2	15484	P51661
ENSMUSG00000015714	Cers2	76893	Q924Z4
ENSMUSG00000063317	Usp31	76179	
ENSMUSG00000056426	Nat3	17962	P50296
ENSMUSG00000020184	Mdm2	17246	P23804
ENSMUSG00000027227	Sord	20322	Q64442
ENSMUSG00000025236	Adpgk	72141	
ENSMUSG00000054823	Nsd3	234135	Q6P2L6
ENSMUSG00000026173	Plcd4	18802	Q8K3R3
ENSMUSG00000026646	Suv39h2	64707	
ENSMUSG00000021707	Dhfr	13361	P00375
ENSMUSG00000029269	Sult1b1	56362	Q9QWG7
ENSMUSG00000078173	Lenep	57275	Q9WVB6
ENSMUSG00000029859	Epha1	13835	Q60750
ENSMUSG00000071350	Setdb2	239122	Q8C267
ENSMUSG00000026204	Ptprn	19275	
ENSMUSG00000019960	Dusp6	67603	Q9DBB1
ENSMUSG00000027598	Itch	16396	Q8C863
ENSMUSG00000020277	Pfkl	18641	P12382
ENSMUSG00000042501	Cpa6	329093	Q5U901
ENSMUSG00000021196	Pfkp	56421	Q9WUA3
ENSMUSG00000032193	Ldlr	16835	P35951
ENSMUSG00000028773	Fabp3	14077	P11404
ENSMUSG00000075289	Carns1	107239	
ENSMUSG00000001436	Slc19a1	20509	P41438
ENSMUSG00000020163	Uqcr11	66594	Q9CPX8
ENSMUSG00000007097	Atp1a2	98660	Q6PIE5
ENSMUSG00000028454	Pigo	56703	
ENSMUSG00000024778	Fas	14102	P25446
ENSMUSG00000110095	Gm7207		
ENSMUSG00000025479	Cyp2e1	13106	Q05421
ENSMUSG00000039878	Slc39a5	72002	Q9D856
ENSMUSG00000026664	Phyh	16922	O35386
ENSMUSG00000024242	Map4k3	225028	Q99JP0
ENSMUSG00000005107	Slc2a9	117591	Q3T9X0
ENSMUSG00000023921	Mmut	17850	P16332
ENSMUSG00000030934	Oat	18242	P29758
ENSMUSG00000034218	Atm	11920	Q62388
ENSMUSG00000020516	Rps6kb1	72508	Q8BSK8
ENSMUSG00000033429	Mcee	73724	Q9D1I5
ENSMUSG00000000214	Th	21823	P24529
ENSMUSG00000025616	Usp16	74112	Q99LG0
ENSMUSG00000019232	Etnppl	71760	Q8BWU8
ENSMUSG00000044217	Aqp5	11830	Q9WTY4
ENSMUSG00000025135	Anapc11	66156	Q9CPX9
ENSMUSG00000025939	Ube2w	66799	Q8VDW4
ENSMUSG00000023943	Sult1c1	20888	Q80VR3
ENSMUSG00000003752	Itpkc	233011	Q7TS72
ENSMUSG00000020745	Pafah1b1	18472	P63005
ENSMUSG00000039058	Ak5	229949	Q920P5
ENSMUSG00000033849	B3galt2	26878	O54905
ENSMUSG00000052533	Nup188	227699	Q6ZQH8
ENSMUSG00000041202	Pla2g2d	18782	Q9WVF6
ENSMUSG00000071253	Slc25a16	73132	Q8C0K5
ENSMUSG00000010047	Hyal2	15587	O35632
ENSMUSG00000062960	Kdr	16542	
ENSMUSG00000029545	Acads	11409	Q07417
ENSMUSG00000027692	Tnik	665113	P83510
ENSMUSG00000028463	Car9	230099	Q8VHB5
ENSMUSG00000033122	Hsd17b3	15487	P70385
ENSMUSG00000025724	Sec11a	56529	Q9R0P6
ENSMUSG00000030763	Lcmt1	30949	
ENSMUSG00000023403	Stk31	77485	Q99MW1
ENSMUSG00000001095	Slc13a2	20500	Q9ES88
ENSMUSG00000079103	Tgm7	640543	
ENSMUSG00000061702	Tmem91	320208	Q8C581
ENSMUSG00000093806	Asmt	107626	
ENSMUSG00000050435	Ube2dnl1	237009	
ENSMUSG00000028223	Decr1	67460	Q9CQ62
ENSMUSG00000038205	Prkab2	108097	Q6PAM0
ENSMUSG00000016179	Camk1g	215303	Q91VB2
ENSMUSG00000022100	Xpo7	65246	Q9EPK7
ENSMUSG00000007039	Ddah2	51793	Q99LD8
ENSMUSG00000037601	Nme1	18102	P15532
ENSMUSG00000026688	Mgst3	66447	Q9CPU4
ENSMUSG00000026825	Dnm1	13429	P39053
ENSMUSG00000090290	Tarbp1	212728	
ENSMUSG00000037085	Trmt12	68260	Q8BG71
ENSMUSG00000042506	Usp22	216825	Q5DU02
ENSMUSG00000030397	Mark4	232944	Q8CIP4
ENSMUSG00000000088	Cox5a	12858	P12787
ENSMUSG00000019738	Polr2i	69920	P60898
ENSMUSG00000036278	Macrod1	107227	Q922B1
ENSMUSG00000033373	Fntb	110606	Q8K2I1
ENSMUSG00000014668	Chfr	231600	Q810L3
ENSMUSG00000036123	Slc9a3	105243	G3X939
ENSMUSG00000033862	Cdk10	234854	Q3UMM4
ENSMUSG00000027340	Slc23a2	54338	Q9EPR4
ENSMUSG00000053398	Phgdh	236539	Q61753
ENSMUSG00000036057	Ptpn23	104831	Q6PB44
ENSMUSG00000021003	Galc	14420	P54818
ENSMUSG00000026171	Rnf25	57751	Q9QZR0
ENSMUSG00000036138	Acaa1a	113868	Q921H8
ENSMUSG00000027011	Ube2e3	22193	P52483
ENSMUSG00000006641	Slc5a6	330064	Q5U4D8
ENSMUSG00000031360	Ctps2	55936	P70303
ENSMUSG00000036356	Csgalnact1	234356	Q8BJQ9
ENSMUSG00000042724	Map3k9	338372	Q3U1V8
ENSMUSG00000032308	Ulk3	71742	Q3U3Q1
ENSMUSG00000027896	Slc16a4	229699	Q8R0M8
ENSMUSG00000025199	Chuk	12675	
ENSMUSG00000028978	Nos3	18127	P70313
ENSMUSG00000031708	Tecr	106529	Q9CY27
ENSMUSG00000031220	Awat2	245532	Q6E1M8
ENSMUSG00000028318	Polr1e	64424	Q8K202
ENSMUSG00000024764	Naa40	70999	Q8VE10
ENSMUSG00000032010	Usp2	53376	O88623
ENSMUSG00000032596	Uba7	74153	
ENSMUSG00000008763	Man1a2	17156	P39098
ENSMUSG00000034422	Parp14	547253	Q2EMV9
ENSMUSG00000079015	Serpina1c	20702	
ENSMUSG00000040170	Fmo2	55990	Q8K2I3
ENSMUSG00000079055	Slc8a3	110893	S4R2P9
ENSMUSG00000027533	Fabp5	16592	Q05816
ENSMUSG00000038068	Rnf144b	218215	Q8BKD6
ENSMUSG00000030737	Slco2b1	101488	Q8BXB6
ENSMUSG00000054446	Cpa1	109697	Q7TPZ8
ENSMUSG00000023169	Slc38a1	105727	Q8K2P7
ENSMUSG00000033540	Idua	15932	
ENSMUSG00000069835	Sat2	69215	Q6P8J2
ENSMUSG00000024912	Fosl1	14283	P48755
ENSMUSG00000021108	Prkch	18755	P23298
ENSMUSG00000023013	Aqp2	11827	P56402
ENSMUSG00000031562	Dctd	320685	
ENSMUSG00000023963	Cyp39a1	56050	Q9JKJ9
ENSMUSG00000050965	Prkca	18750	
ENSMUSG00000075296	Aldh3b2	621603	E9Q3E1
ENSMUSG00000029462	Vps29	56433	Q9QZ88
ENSMUSG00000027088	Phospho2	73373	Q9D9M5
ENSMUSG00000024997	Prdx3	11757	P20108
ENSMUSG00000035248	Tut7	214290	
ENSMUSG00000073295	Nudt11	58242	P0C028;P0C027
ENSMUSG00000022433	Csnk1e	27373	Q9JMK2
ENSMUSG00000024085	Man2a1	17158	P27046
ENSMUSG00000041926	Rnpep	215615	Q8VCT3
ENSMUSG00000000308	Ckmt1	12716	P30275
ENSMUSG00000026196	Bard1	12021	O70445
ENSMUSG00000025261	Huwe1	59026	Q7TMY8
ENSMUSG00000026787	Gad2	14417	P48320
ENSMUSG00000039384	Dusp10	63953	Q9ESS0
ENSMUSG00000034663	Bmp2k	140780	Q91Z96
ENSMUSG00000032579	Hemk1	69536	Q921L7
ENSMUSG00000026726	Cubn	65969	Q9JLB4
ENSMUSG00000037260	Hgsnat	52120	Q3UDW8
ENSMUSG00000037936	Scarb1	20778	Q61009
ENSMUSG00000034579	Pla2g3	237625	Q8BZT7
ENSMUSG00000029752	Asns	27053	Q61024
ENSMUSG00000031958	Ldhd	52815	Q7TNG8
ENSMUSG00000033624	Pdpr	319518	Q7TSQ8
ENSMUSG00000037553	Zdhhc18	503610	Q5Y5T2
ENSMUSG00000053293	Pom121	107939	Q8K3Z9
ENSMUSG00000025665	Rps6ka6	67071	
ENSMUSG00000028980	H6pd	100198	Q8CFX1
ENSMUSG00000022186	Oxct1	67041	Q9D0K2
ENSMUSG00000046959	Slc26a1	231583	P58735
ENSMUSG00000038641	Akr1d1	208665	Q8VCX1
ENSMUSG00000021301	Hecw1	94253	Q8K4P8
ENSMUSG00000026463	Atp2b4	381290	Q6Q477
ENSMUSG00000009905	Kdsr	70750	Q6GV12
ENSMUSG00000057672	Pkn1	320795	P70268
ENSMUSG00000074264	Amy1	11722	P00687
ENSMUSG00000025190	Got1	14718	P05201
ENSMUSG00000028972	Car6	12353	P18761
ENSMUSG00000028399	Ptprd	19266	Q64487
ENSMUSG00000025375	Aatk	11302	
ENSMUSG00000020098	Pcbd1	13180	P61458
ENSMUSG00000053965	Pde5a	242202	Q8CG03
ENSMUSG00000040563	Plppr2	235044	Q8VCY8
ENSMUSG00000074506	Gm10705		
ENSMUSG00000035798	Zdhhc17	320150	Q80TN5
ENSMUSG00000031377	Bmx	12169	P97504
ENSMUSG00000042268	Slc26a9	320718	
ENSMUSG00000066072	Cyp4a10	13117	O88833
ENSMUSG00000019987	Arg1	11846	Q61176
ENSMUSG00000027463	Slc52a3	69698	Q9D6X5
ENSMUSG00000006920	Ezh1	14055	P70351
ENSMUSG00000059734	Ndufs8	225887	Q8K3J1
ENSMUSG00000066441	Rdh11	17252	Q9QYF1
ENSMUSG00000037738	Nek5	330721	Q7TSC3
ENSMUSG00000007107	Atp1a4	27222	Q9WV27
ENSMUSG00000033174	Mgll	23945	O35678
ENSMUSG00000032754	Slc8b1	170756	Q925Q3
ENSMUSG00000026810	Dpm2	13481	Q9Z324
ENSMUSG00000024184	Pdia2	69191	D3Z6P0
ENSMUSG00000031284	Pak3	18481	Q61036
ENSMUSG00000003746	Man1a	17155	P45700
ENSMUSG00000038178	Slc43a2	215113	Q8CGA3
ENSMUSG00000024712	Rfk	54391	Q8CFV9
ENSMUSG00000015890	Amdhd1	71761	Q9DBA8
ENSMUSG00000025277	Abhd6	66082	Q8R2Y0
ENSMUSG00000042104	Uggt2	66435	
ENSMUSG00000002944	Cd36	12491	Q08857
ENSMUSG00000030382	Slc27a5	26459	Q4LDG0
ENSMUSG00000029162	Khk	16548	
ENSMUSG00000024258	Polr2d	69241	Q9D7M8
ENSMUSG00000030945	Acsm2	233799	Q8K0L3
ENSMUSG00000040936	Ulk4	209012	Q3V129
ENSMUSG00000027068	Dhrs9	241452	Q58NB6
ENSMUSG00000010651	Acaa1b	235674	Q8VCH0
ENSMUSG00000030376	Slc8a2	110891	Q8K596
ENSMUSG00000030979	Uros	22276	P51163
ENSMUSG00000015224	Cyp2j9	74519	
ENSMUSG00000029726	Mepce	231803	Q8K3A9
ENSMUSG00000032458	Copb2	50797	O55029
ENSMUSG00000074183	Gsta1	14857	P13745
ENSMUSG00000026496	Parp1	11545	
ENSMUSG00000057933	Gsta2	14858	P10648
ENSMUSG00000037580	Gch1	14528	Q05915
