sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM3015703,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015704,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015705,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015706,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015707,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015708,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015709,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015710,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015711,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015712,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015713,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015714,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015715,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015716,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015717,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015718,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015719,THYTau22,Wildtype,Hippocampus,Mixed,Male,10
GSM3015720,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015721,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015722,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015723,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015724,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015725,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015726,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015727,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015728,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015729,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015730,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
GSM3015731,THYTau22,Wildtype,Hippocampus,Mixed,Male,4
