sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM3526641,TREM2KO,controlDietTREM2KO,Brain,Microglia,Male,13
GSM3526642,TREM2KO,controlDietTREM2KO,Brain,NonMicroglia,Male,13
GSM3526643,TREM2KO,cuprizoneDietWT,Brain,Microglia,Female,11
GSM3526644,TREM2KO,cuprizoneDietWT,Brain,NonMicroglia,Female,11
GSM3526645,TREM2KO,controlDietWT,Brain,Microglia,Female,13
GSM3526646,TREM2KO,controlDietWT,Brain,NonMicroglia,Female,13
GSM3526647,TREM2KO,controlDietTREM2Het,Brain,Microglia,Male,13
GSM3526648,TREM2KO,controlDietTREM2Het,Brain,NonMicroglia,Male,13
GSM3526649,TREM2KO,controlDietTREM2Het,Brain,Microglia,Female,13
GSM3526650,TREM2KO,controlDietTREM2Het,Brain,NonMicroglia,Female,13
GSM3526651,TREM2KO,controlDietTREM2KO,Brain,Microglia,Female,11
GSM3526652,TREM2KO,controlDietTREM2KO,Brain,NonMicroglia,Female,11
GSM3526653,TREM2KO,controlDietTREM2Het,Brain,Microglia,Female,13
GSM3526654,TREM2KO,controlDietTREM2Het,Brain,NonMicroglia,Female,13
GSM3526655,TREM2KO,controlDietTREM2KO,Brain,Microglia,Female,13
GSM3526656,TREM2KO,controlDietTREM2KO,Brain,NonMicroglia,Female,13
GSM3526657,TREM2KO,cuprizoneDietTREM2Het,Brain,Microglia,Female,13
GSM3526658,TREM2KO,cuprizoneDietTREM2Het,Brain,NonMicroglia,Female,13
GSM3526659,TREM2KO,controlDietTREM2KO,Brain,Microglia,Male,11
GSM3526660,TREM2KO,controlDietTREM2KO,Brain,NonMicroglia,Male,11
GSM3526661,TREM2KO,cuprizoneDietTREM2KO,Brain,Microglia,Male,13
GSM3526662,TREM2KO,cuprizoneDietTREM2KO,Brain,NonMicroglia,Male,13
GSM3526663,TREM2KO,controlDietTREM2Het,Brain,Microglia,Female,11
GSM3526664,TREM2KO,controlDietTREM2Het,Brain,NonMicroglia,Female,11
GSM3526665,TREM2KO,cuprizoneDietTREM2KO,Brain,Microglia,Female,13
GSM3526666,TREM2KO,cuprizoneDietTREM2KO,Brain,NonMicroglia,Female,13
