geneSymbol	ensemblGeneId	trLength
1110038B12Rik	ENSMUSG00000092203	665.625
1110038F14Rik	ENSMUSG00000063236	1232.75
1110046J04Rik	ENSMUSG00000085457	1316.66666666667
1110051M20Rik	ENSMUSG00000040591	1135.25
1110057P08Rik	ENSMUSG00000068067	465
1110059E24Rik	ENSMUSG00000035171	697.666666666667
1110059G10Rik	ENSMUSG00000032551	2211.33333333333
1110060G06Rik	ENSMUSG00000105036	499
1110065P20Rik	ENSMUSG00000078570	937.333333333333
1190001M18Rik	ENSMUSG00000111857	1270
1190005I06Rik	ENSMUSG00000043687	628.333333333333
1190007I07Rik	ENSMUSG00000063320	562.8
1190028D05Rik	ENSMUSG00000110013	763
1200007C13Rik	ENSMUSG00000087684	2455
1300002E11Rik	ENSMUSG00000097290	1174.875
1300014J16Rik	ENSMUSG00000112545	1337
1300017J02Rik	ENSMUSG00000033688	1453
1500002C15Rik	ENSMUSG00000096221	2131.5
1500002F19Rik	ENSMUSG00000097595	562
1500004A13Rik	ENSMUSG00000098912	2108.33333333333
1500005C15Rik	ENSMUSG00000104888	2394
1500009C09Rik	ENSMUSG00000068099	1539
1500009L16Rik	ENSMUSG00000087651	1339.66666666667
1500011B03Rik	ENSMUSG00000072694	744.6
1500012K07Rik	ENSMUSG00000097247	1238.33333333333
1500015A07Rik	ENSMUSG00000098702	1059.33333333333
1500015L24Rik	ENSMUSG00000094732	1102.47058823529
1500026H17Rik	ENSMUSG00000097383	3027
1500032F14Rik	ENSMUSG00000117718	460
1500032F14Rik	ENSMUSG00000117997	460
1500035N22Rik	ENSMUSG00000059631	865
1520401A03Rik	ENSMUSG00000043747	2536.2
1600002D24Rik	ENSMUSG00000117232	915.75
1600010M07Rik	ENSMUSG00000101585	698.75
1600012H06Rik	ENSMUSG00000050088	1816.75
1600012P17Rik	ENSMUSG00000047661	1503.5
1600014C10Rik	ENSMUSG00000054676	1960.88888888889
1600014C23Rik	ENSMUSG00000094690	518
1600017P15Rik	ENSMUSG00000065361	412
1600017P15Rik	ENSMUSG00000102505	890
1600019K03Rik	ENSMUSG00000099429	477
1600020E01Rik	ENSMUSG00000097048	1088.625
1600022D10Rik	ENSMUSG00000117315	1562
1600023N17Rik	ENSMUSG00000104986	1007
1600025M17Rik	ENSMUSG00000085114	606.5
1600027J07Rik	ENSMUSG00000110340	489
1600029O15Rik	ENSMUSG00000057818	1163
1700001C19Rik	ENSMUSG00000047150	895.25
1700001C19Rik	ENSMUSG00000116001	895.25
1700001D01Rik	ENSMUSG00000099419	565
1700001F09Rik	ENSMUSG00000095384	884
1700001G01Rik	ENSMUSG00000087170	887.5
1700001G11Rik	ENSMUSG00000085984	732
1700001G17Rik	ENSMUSG00000103746	879.5
1700001J03Rik	ENSMUSG00000095040	638.5
1700001J04Rik	ENSMUSG00000086135	633.5
1700001J11Rik	ENSMUSG00000101963	1611
1700001K19Rik	ENSMUSG00000056508	670
1700001K23Rik	ENSMUSG00000118314	588.8
1700001L05Rik	ENSMUSG00000075511	2236.5
1700001L19Rik	ENSMUSG00000021534	1303
1700001N15Rik	ENSMUSG00000106210	482
1700001O22Rik	ENSMUSG00000044320	878.846153846154
1700001P01Rik	ENSMUSG00000018543	624
1700003C15Rik	ENSMUSG00000099391	967
1700003D09Rik	ENSMUSG00000085944	1389
1700003E16Rik	ENSMUSG00000030030	2045
1700003E24Rik	ENSMUSG00000095110	577
1700003F12Rik	ENSMUSG00000038523	697
1700003G18Rik	ENSMUSG00000087621	716
1700003H04Rik	ENSMUSG00000039174	729.666666666667
1700003I16Rik	ENSMUSG00000107526	1058
1700003I22Rik	ENSMUSG00000100372	397.5
1700003L19Rik	ENSMUSG00000101565	660
1700003M07Rik	ENSMUSG00000085389	552.5
1700003N22Rik	ENSMUSG00000102463	808
1700003O11Rik	ENSMUSG00000118311	582
1700003P14Rik	ENSMUSG00000100727	975.666666666667
1700006A11Rik	ENSMUSG00000027973	1929.5
1700006F04Rik	ENSMUSG00000100274	441
1700006H21Rik	ENSMUSG00000102000	543.5
1700006J14Rik	ENSMUSG00000034764	1209.25
1700006P03Rik	ENSMUSG00000102738	409
1700007E05Rik	ENSMUSG00000101234	1506
1700007F19Rik	ENSMUSG00000100666	1642
1700007H22Rik	ENSMUSG00000116556	537
1700007J10Rik	ENSMUSG00000086330	895
1700007K13Rik	ENSMUSG00000026831	641
1700007L15Rik	ENSMUSG00000097318	701
1700007M16Rik	ENSMUSG00000086613	435
1700007P06Rik	ENSMUSG00000089730	823
1700008A23Rik	ENSMUSG00000103452	691
1700008B11Rik	ENSMUSG00000104872	634
1700008C04Rik	ENSMUSG00000111986	797
1700008H02Rik	ENSMUSG00000106860	1684
1700008J07Rik	ENSMUSG00000101225	2432
1700008K24Rik	ENSMUSG00000101012	775
1700008N11Rik	ENSMUSG00000109657	636
1700008O03Rik	ENSMUSG00000008028	1072
1700008P02Rik	ENSMUSG00000069118	783
1700009C05Rik	ENSMUSG00000101404	788
1700009J07Rik	ENSMUSG00000096573	972
1700009N14Rik	ENSMUSG00000028287	1258
1700010B08Rik	ENSMUSG00000057047	899
1700010B13Rik	ENSMUSG00000099958	1639
1700010D01Rik	ENSMUSG00000071721	507
1700010G06Rik	ENSMUSG00000115752	683
1700010H22Rik	ENSMUSG00000067101	762
1700010I02Rik	ENSMUSG00000100010	434
1700010I14Rik	ENSMUSG00000023873	1762.6
1700010J16Rik	ENSMUSG00000100314	666
1700010K23Rik	ENSMUSG00000092599	376
1700010K24Rik	ENSMUSG00000085102	226
1700010L04Rik	ENSMUSG00000030636	710.333333333333
1700010N08Rik	ENSMUSG00000101855	756
1700011B04Rik	ENSMUSG00000102099	879.583333333333
1700011C11Rik	ENSMUSG00000108800	365
1700011D18Rik	ENSMUSG00000108791	277
1700011L03Rik	ENSMUSG00000109759	608
1700011L22Rik	ENSMUSG00000031682	713.5
1700011M02Rik	ENSMUSG00000079476	420
1700012A03Rik	ENSMUSG00000029766	672
1700012B07Rik	ENSMUSG00000020617	1178.66666666667
1700012B09Rik	ENSMUSG00000031927	501.6
1700012C08Rik	ENSMUSG00000086482	363
1700012C14Rik	ENSMUSG00000085470	461.5
1700012D14Rik	ENSMUSG00000110424	1303.75
1700012D16Rik	ENSMUSG00000105023	577
1700012E03Rik	ENSMUSG00000101275	1377
1700012I11Rik	ENSMUSG00000102069	1039
1700012J15Rik	ENSMUSG00000107394	471
1700012J22Rik	ENSMUSG00000103545	830
1700012P22Rik	ENSMUSG00000028589	974
1700013A02Rik	ENSMUSG00000106899	645
1700013D24Rik	ENSMUSG00000079346	513
1700013F07Rik	ENSMUSG00000027886	628.333333333333
1700013G24Rik	ENSMUSG00000041399	1048
1700013H16Rik	ENSMUSG00000054727	1224
1700013M08Rik	ENSMUSG00000106586	740.5
1700013N06Rik	ENSMUSG00000085801	663
1700014D04Rik	ENSMUSG00000051054	1464
1700014F14Rik	ENSMUSG00000105903	197
1700014L14Rik	ENSMUSG00000110056	481
1700015C15Rik	ENSMUSG00000113696	374
1700015C17Rik	ENSMUSG00000104908	239
1700015F17Rik	ENSMUSG00000079666	683.666666666667
1700015G11Rik	ENSMUSG00000094445	330.75
1700015H07Rik	ENSMUSG00000115761	560
1700015I17Rik	ENSMUSG00000110335	2099
1700015O11Rik	ENSMUSG00000097671	678
1700016A09Rik	ENSMUSG00000102737	835
1700016B01Rik	ENSMUSG00000104538	270
1700016B15Rik	ENSMUSG00000108979	733
1700016C15Rik	ENSMUSG00000015962	768
1700016D06Rik	ENSMUSG00000031509	661
1700016D08Rik	ENSMUSG00000103481	352
1700016F12Rik	ENSMUSG00000104955	655
1700016G22Rik	ENSMUSG00000100625	559
1700016H03Rik	ENSMUSG00000114673	437
1700016H13Rik	ENSMUSG00000029320	880.714285714286
1700016J18Rik	ENSMUSG00000111103	249
1700016K05Rik	ENSMUSG00000114563	386
1700016K19Rik	ENSMUSG00000053783	921
1700016L21Rik	ENSMUSG00000101483	511.5
1700016P03Rik	ENSMUSG00000085609	863
1700016P04Rik	ENSMUSG00000101894	429
1700017B05Rik	ENSMUSG00000032300	1766
1700017G19Rik	ENSMUSG00000037884	1575.5
1700017G19Rik	ENSMUSG00000116410	1575.5
1700017I07Rik	ENSMUSG00000098727	462
1700017J07Rik	ENSMUSG00000086348	473
1700017L05Rik	ENSMUSG00000107232	558
1700017M07Rik	ENSMUSG00000105651	940
1700017N19Rik	ENSMUSG00000056912	1419.1
1700018A04Rik	ENSMUSG00000038408	1381.2
1700018A14Rik	ENSMUSG00000103616	711
1700018A23Rik	ENSMUSG00000107368	398
1700018B08Rik	ENSMUSG00000031809	919.5
1700018B24Rik	ENSMUSG00000037910	593
1700018F24Rik	ENSMUSG00000029620	1122
1700018G05Rik	ENSMUSG00000109745	386
1700018L02Rik	ENSMUSG00000100075	2485
1700018M17Rik	ENSMUSG00000046145	456
1700018P08Rik	ENSMUSG00000110709	1239
1700019A02Rik	ENSMUSG00000060715	686
1700019A23Rik	ENSMUSG00000109102	196
1700019C18Rik	ENSMUSG00000113770	1074.33333333333
1700019D03Rik	ENSMUSG00000043629	1920.14285714286
1700019E08Rik	ENSMUSG00000086202	529.5
1700019F05Rik	ENSMUSG00000107027	533
1700019G24Rik	ENSMUSG00000085416	503
1700019J19Rik	ENSMUSG00000111489	1479.8
1700019L13Rik	ENSMUSG00000111639	2731
1700019M22Rik	ENSMUSG00000059695	354
1700019N19Rik	ENSMUSG00000026931	976.5
1700019P21Rik	ENSMUSG00000099808	411
1700020A23Rik	ENSMUSG00000027409	591.333333333333
1700020D05Rik	ENSMUSG00000100937	1021
1700020D12Rik	ENSMUSG00000113628	426
1700020G03Rik	ENSMUSG00000110052	889
1700020G17Rik	ENSMUSG00000101801	626.75
1700020L24Rik	ENSMUSG00000035085	756.5
1700020M21Rik	ENSMUSG00000100146	644
1700020N01Rik	ENSMUSG00000050844	628
1700020N15Rik	ENSMUSG00000059690	525
1700020N18Rik	ENSMUSG00000100253	547
1700021A07Rik	ENSMUSG00000037535	399.333333333333
1700021F02Rik	ENSMUSG00000105426	350
1700021F07Rik	ENSMUSG00000027518	646
1700021F13Rik	ENSMUSG00000107053	414.5
1700021G15Rik	ENSMUSG00000112387	528
1700021J08Rik	ENSMUSG00000086890	575
1700021L23Rik	ENSMUSG00000086955	726
1700021N21Rik	ENSMUSG00000087343	904
1700021P04Rik	ENSMUSG00000096796	659
1700022A21Rik	ENSMUSG00000038165	1249.5
1700022A22Rik	ENSMUSG00000099751	1042
1700022E09Rik	ENSMUSG00000099983	343
1700022H01Rik	ENSMUSG00000112581	387
1700022H16Rik	ENSMUSG00000099360	476
1700022I11Rik	ENSMUSG00000028451	1318.2
1700022N22Rik	ENSMUSG00000097523	736.333333333333
1700023B13Rik	ENSMUSG00000117050	1046
1700023C21Rik	ENSMUSG00000087393	389
1700023F02Rik	ENSMUSG00000100000	386
1700023G09Rik	ENSMUSG00000103503	884
1700023H06Rik	ENSMUSG00000089827	1044
1700024B05Rik	ENSMUSG00000052334	1574.5
1700024B18Rik	ENSMUSG00000099994	423
1700024G13Rik	ENSMUSG00000072473	850
1700024I08Rik	ENSMUSG00000113825	498.333333333333
1700024J04Rik	ENSMUSG00000069890	1821
1700025A08Rik	ENSMUSG00000106947	609
1700025B11Rik	ENSMUSG00000101113	553
1700025C18Rik	ENSMUSG00000078935	702
1700025D23Rik	ENSMUSG00000086760	846
1700025F24Rik	ENSMUSG00000100558	894
1700025G04Rik	ENSMUSG00000032666	3428.5
1700025H01Rik	ENSMUSG00000101888	547
1700025J12Rik	ENSMUSG00000108409	630
1700025K04Rik	ENSMUSG00000112482	1174
1700025K24Rik	ENSMUSG00000099747	740
1700025L06Rik	ENSMUSG00000109962	1005.66666666667
1700025M24Rik	ENSMUSG00000100175	649
1700025N21Rik	ENSMUSG00000090200	686
1700025N23Rik	ENSMUSG00000100121	915
1700025O08Rik	ENSMUSG00000028244	456
1700026D11Rik	ENSMUSG00000086379	865
1700026F02Rik	ENSMUSG00000101854	694.4
1700026J12Rik	ENSMUSG00000073976	1141
1700026J14Rik	ENSMUSG00000097716	794
1700026N04Rik	ENSMUSG00000114681	643
1700027A07Rik	ENSMUSG00000084864	458
1700027A15Rik	ENSMUSG00000101968	425
1700027F06Rik	ENSMUSG00000107737	243
1700027F09Rik	ENSMUSG00000100911	767
1700027H10Rik	ENSMUSG00000100799	584
1700027I24Rik	ENSMUSG00000098304	657.5
1700027J07Rik	ENSMUSG00000111422	1360
1700028B04Rik	ENSMUSG00000099417	763
1700028D13Rik	ENSMUSG00000101683	616.5
1700028E10Rik	ENSMUSG00000097321	1428.16666666667
1700028I16Rik	ENSMUSG00000056821	1052
1700028J19Rik	ENSMUSG00000038782	1197
1700028K03Rik	ENSMUSG00000089798	2311.66666666667
1700028M03Rik	ENSMUSG00000101334	476
1700028N14Rik	ENSMUSG00000078635	747
1700028P14Rik	ENSMUSG00000033053	875
1700028P15Rik	ENSMUSG00000086823	1543
1700029B22Rik	ENSMUSG00000100759	654
1700029B24Rik	ENSMUSG00000102834	497
1700029E06Rik	ENSMUSG00000100557	757
1700029F12Rik	ENSMUSG00000052075	1025.66666666667
1700029H14Rik	ENSMUSG00000031452	1124.5
1700029I15Rik	ENSMUSG00000044916	564.5
1700029J03Rik	ENSMUSG00000099968	705.25
1700029J07Rik	ENSMUSG00000071103	1895.33333333333
1700029M03Rik	ENSMUSG00000101189	400.5
1700029M20Rik	ENSMUSG00000086788	1335.5
1700029N11Rik	ENSMUSG00000098144	744.333333333333
1700029P11Rik	ENSMUSG00000061633	1024
1700030A11Rik	ENSMUSG00000085333	888
1700030C10Rik	ENSMUSG00000091071	798.5
1700030C10Rik	ENSMUSG00000099759	1735
1700030C12Rik	ENSMUSG00000086459	590.75
1700030C14Rik	ENSMUSG00000087148	756
1700030E10Rik	ENSMUSG00000112619	721
1700030F04Rik	ENSMUSG00000099869	506.666666666667
1700030I03Rik	ENSMUSG00000103387	942
1700030J22Rik	ENSMUSG00000031847	2229
1700030K09Rik	ENSMUSG00000052794	1829.33333333333
1700030L20Rik	ENSMUSG00000099508	985
1700030L22Rik	ENSMUSG00000113179	635.5
1700030M09Rik	ENSMUSG00000097424	791
1700030N03Rik	ENSMUSG00000100969	1203.44444444444
1700030N18Rik	ENSMUSG00000106800	966
1700030O20Rik	ENSMUSG00000100198	594
1700031A10Rik	ENSMUSG00000092239	656
1700031F05Rik	ENSMUSG00000032894	1125.5
1700031F10Rik	ENSMUSG00000047046	581
1700031L13Rik	ENSMUSG00000099863	726.5
1700031M16Rik	ENSMUSG00000099353	701.625
1700031P21Rik	ENSMUSG00000100315	406.333333333333
1700034B16Rik	ENSMUSG00000097302	722
1700034E13Rik	ENSMUSG00000024532	464.5
1700034G24Rik	ENSMUSG00000097962	1024.5
1700034H15Rik	ENSMUSG00000055833	1390.16666666667
1700034H15Rik	ENSMUSG00000111237	1390.16666666667
1700034I23Rik	ENSMUSG00000074619	2348
1700034I23Rik	ENSMUSG00000116310	2348
1700034J04Rik	ENSMUSG00000103287	750
1700034J05Rik	ENSMUSG00000040163	2515
1700034K08Rik	ENSMUSG00000100294	502.75
1700034P13Rik	ENSMUSG00000097893	906.285714285714
1700036A12Rik	ENSMUSG00000095956	1091
1700036G14Rik	ENSMUSG00000099995	542
1700036O09Rik	ENSMUSG00000086185	349
1700037C06Rik	ENSMUSG00000085542	874
1700037C18Rik	ENSMUSG00000005983	965
1700037F03Rik	ENSMUSG00000114125	365
1700037H04Rik	ENSMUSG00000027327	1008.85714285714
1700039E22Rik	ENSMUSG00000092369	770
1700039I01Rik	ENSMUSG00000102536	479
1700039M10Rik	ENSMUSG00000097933	532
1700039M15Rik	ENSMUSG00000104086	1120
1700040D17Rik	ENSMUSG00000097515	998
1700040E09Rik	ENSMUSG00000113997	606
1700040F15Rik	ENSMUSG00000100667	931
1700040F17Rik	ENSMUSG00000101568	817
1700040K01Rik	ENSMUSG00000103840	438
1700040L08Rik	ENSMUSG00000107406	541
1700041B01Rik	ENSMUSG00000116260	503
1700041C23Rik	ENSMUSG00000100282	395
1700041G16Rik	ENSMUSG00000054822	1141
1700041I07Rik	ENSMUSG00000104845	435
1700041M05Rik	ENSMUSG00000087010	306
1700041M19Rik	ENSMUSG00000100857	813.6
1700042D02Rik	ENSMUSG00000105991	389
1700042G07Rik	ENSMUSG00000078593	385
1700042G15Rik	ENSMUSG00000087044	448.333333333333
1700042O05Rik	ENSMUSG00000112878	584
1700042O10Rik	ENSMUSG00000086391	1075
1700044C05Rik	ENSMUSG00000099911	898
1700044K03Rik	ENSMUSG00000100297	377
1700045H11Rik	ENSMUSG00000078492	593
1700045I11Rik	ENSMUSG00000104526	493
1700046C09Rik	ENSMUSG00000085561	543
1700047A11Rik	ENSMUSG00000085437	524.5
1700047E10Rik	ENSMUSG00000115294	568
1700047F07Rik	ENSMUSG00000085549	445.75
1700047G03Rik	ENSMUSG00000099349	759.5
1700047G07Rik	ENSMUSG00000110717	646.5
1700047K16Rik	ENSMUSG00000087347	886
1700047L14Rik	ENSMUSG00000101762	511
1700047M11Rik	ENSMUSG00000100147	1645.5
1700047N06Rik	ENSMUSG00000102356	920
1700047O18Rik	ENSMUSG00000109594	743
1700048F04Rik	ENSMUSG00000105274	1064
1700048M11Rik	ENSMUSG00000085637	485
1700048O14Rik	ENSMUSG00000118016	521
1700048O20Rik	ENSMUSG00000043773	1332.66666666667
1700048P04Rik	ENSMUSG00000112333	369
1700049E15Rik	ENSMUSG00000085077	743.5
1700049E17Rik1	ENSMUSG00000079271	1761
1700049E17Rik2	ENSMUSG00000090440	1124.5
1700049E22Rik	ENSMUSG00000101553	507
1700049L16Rik	ENSMUSG00000043859	543
1700051A21Rik	ENSMUSG00000086951	1437.5
1700051K13Rik	ENSMUSG00000108263	696
1700051O22Rik	ENSMUSG00000103341	634
1700052H01Rik	ENSMUSG00000105297	573
1700052I22Rik	ENSMUSG00000101912	379
1700052K11Rik	ENSMUSG00000099681	3708
1700054A03Rik	ENSMUSG00000099988	1505.85714285714
1700054K02Rik	ENSMUSG00000097001	376
1700054K19Rik	ENSMUSG00000100219	452
1700054M17Rik	ENSMUSG00000085889	445
1700054O05Rik	ENSMUSG00000111753	555
1700054O19Rik	ENSMUSG00000104183	868
1700055C04Rik	ENSMUSG00000093616	355
1700055D18Rik	ENSMUSG00000070997	2645
1700056E22Rik	ENSMUSG00000044854	1119.5
1700056N10Rik	ENSMUSG00000084792	1043
1700057G04Rik	ENSMUSG00000074139	713
1700057H15Rik	ENSMUSG00000084757	525.75
1700057H21Rik	ENSMUSG00000086007	444.5
1700058P15Rik	ENSMUSG00000089636	413
1700060C16Rik	ENSMUSG00000086887	645
1700060C20Rik	ENSMUSG00000078957	605
1700060J05Rik	ENSMUSG00000084970	1060
1700060O08Rik	ENSMUSG00000099407	281
1700061A03Rik	ENSMUSG00000117966	455
1700061E17Rik	ENSMUSG00000102060	1067
1700061E18Rik	ENSMUSG00000085759	588
1700061F12Rik	ENSMUSG00000085580	876
1700061H18Rik	ENSMUSG00000084948	599
1700061I17Rik	ENSMUSG00000028009	1962
1700061J23Rik	ENSMUSG00000086366	537
1700061N14Rik	ENSMUSG00000110464	463
1700062C10Rik	ENSMUSG00000114390	822.333333333333
1700063A18Rik	ENSMUSG00000100062	356
1700063D05Rik	ENSMUSG00000100837	725.6
1700063H04Rik	ENSMUSG00000040657	817
1700063H06Rik	ENSMUSG00000099266	445
1700063I16Rik	ENSMUSG00000103463	611
1700063J08Rik	ENSMUSG00000117080	554
1700063K16Rik	ENSMUSG00000102036	660.5
1700063O14Rik	ENSMUSG00000101978	492
1700064H15Rik	ENSMUSG00000082766	394
1700064J06Rik	ENSMUSG00000100681	386
1700064M15Rik	ENSMUSG00000100211	645
1700065D16Rik	ENSMUSG00000096655	1622.2
1700065I16Rik	ENSMUSG00000099435	678
1700065J11Rik	ENSMUSG00000107341	424
1700065J18Rik	ENSMUSG00000100872	367.5
1700065L07Rik	ENSMUSG00000107408	614
1700065O20Rik	ENSMUSG00000100134	710
1700066B17Rik	ENSMUSG00000101634	492.666666666667
1700066B19Rik	ENSMUSG00000073598	2067
1700066C05Rik	ENSMUSG00000101810	407
1700066J03Rik	ENSMUSG00000097717	463.666666666667
1700066M21Rik	ENSMUSG00000038323	1297.66666666667
1700066N21Rik	ENSMUSG00000099605	783
1700066O22Rik	ENSMUSG00000085800	654.2
1700067G17Rik	ENSMUSG00000099378	603
1700067K01Rik	ENSMUSG00000046408	1105.75
1700067P10Rik	ENSMUSG00000021545	1089
1700067P10Rik	ENSMUSG00000115934	1089
1700069B07Rik	ENSMUSG00000053081	881
1700069L16Rik	ENSMUSG00000042184	618.666666666667
1700069P05Rik	ENSMUSG00000107637	785
1700071G01Rik	ENSMUSG00000086376	367
1700071K01Rik	ENSMUSG00000080980	819
1700071M16Rik	ENSMUSG00000090307	1088.25
1700072B07Rik	ENSMUSG00000100487	445
1700072G22Rik	ENSMUSG00000101702	548
1700072O05Rik	ENSMUSG00000107744	321
1700073E17Rik	ENSMUSG00000087204	733
1700074A21Rik	ENSMUSG00000102231	346
1700074H08Rik	ENSMUSG00000099872	555
1700074P13Rik	ENSMUSG00000029883	1326
1700080C20Rik	ENSMUSG00000117741	186
1700080N15Rik	ENSMUSG00000084859	722
1700080O16Rik	ENSMUSG00000031118	1343
1700081B01Rik	ENSMUSG00000105673	479
1700081H04Rik	ENSMUSG00000100573	1128
1700081N11Rik	ENSMUSG00000113209	538
1700082M22Rik	ENSMUSG00000023737	1265.5
1700083H02Rik	ENSMUSG00000100668	637
1700084C06Rik	ENSMUSG00000086016	750
1700084D21Rik	ENSMUSG00000114333	444
1700084E18Rik	ENSMUSG00000100747	1079
1700084F23Rik	ENSMUSG00000099639	670.6
1700084J12Rik	ENSMUSG00000058101	1363
1700084M14Rik	ENSMUSG00000057805	559
1700085C21Rik	ENSMUSG00000100890	1082
1700085D07Rik	ENSMUSG00000115693	318
1700086D15Rik	ENSMUSG00000020548	1092
1700086L19Rik	ENSMUSG00000071265	843
1700086O06Rik	ENSMUSG00000097080	827.166666666667
1700086P04Rik	ENSMUSG00000085085	1009
1700087I21Rik	ENSMUSG00000115099	2234
1700087M22Rik	ENSMUSG00000115723	208
1700088E04Rik	ENSMUSG00000033029	965
1700091H14Rik	ENSMUSG00000090462	989
1700092C02Rik	ENSMUSG00000086781	359
1700092C10Rik	ENSMUSG00000092499	585
1700092C17Rik	ENSMUSG00000085353	347
1700092E16Rik	ENSMUSG00000111487	753
1700092E19Rik	ENSMUSG00000084811	1116.5
1700092K14Rik	ENSMUSG00000078600	395
1700092M07Rik	ENSMUSG00000090840	421.5
1700093J21Rik	ENSMUSG00000117289	647
1700093K21Rik	ENSMUSG00000020286	959.6
1700094D03Rik	ENSMUSG00000118506	1861
1700094J05Rik	ENSMUSG00000101695	682.5
1700094M23Rik	ENSMUSG00000105337	685
1700094M24Rik	ENSMUSG00000107895	665
1700095A13Rik	ENSMUSG00000100430	1139.57142857143
1700095A21Rik	ENSMUSG00000086046	1069
1700095B10Rik	ENSMUSG00000098230	807
1700095J03Rik	ENSMUSG00000085407	1808
1700095J07Rik	ENSMUSG00000084861	989
1700095J12Rik	ENSMUSG00000084804	737
1700095K22Rik	ENSMUSG00000108505	282
1700096J18Rik	ENSMUSG00000099630	482
1700096K18Rik	ENSMUSG00000101856	1454
1700097M23Rik	ENSMUSG00000108194	1522
1700097N02Rik	ENSMUSG00000099474	845
1700099I09Rik	ENSMUSG00000091906	723
1700100I10Rik	ENSMUSG00000115372	736
1700100L14Rik	ENSMUSG00000101051	725
1700101I11Rik	ENSMUSG00000097675	1382
1700101I19Rik	ENSMUSG00000045815	450
1700101O22Rik	ENSMUSG00000102096	339
1700102F20Rik	ENSMUSG00000108229	670
1700102H20Rik	ENSMUSG00000116852	433.5
1700102P08Rik	ENSMUSG00000032611	879.5
1700104B16Rik	ENSMUSG00000049476	646
1700104L18Rik	ENSMUSG00000112821	598
1700105G05Rik	ENSMUSG00000113747	411
1700105P06Rik	ENSMUSG00000099923	1025
1700106O07Rik	ENSMUSG00000117394	439
1700108F19Rik	ENSMUSG00000101009	890.625
1700108J01Rik	ENSMUSG00000100585	484
1700108N06Rik	ENSMUSG00000106034	681
1700108N11Rik	ENSMUSG00000084837	917
1700109G14Rik	ENSMUSG00000101505	679.666666666667
1700109G15Rik	ENSMUSG00000085044	384
1700109H08Rik	ENSMUSG00000008307	873
1700109I08Rik	ENSMUSG00000101261	396
1700109K24Rik	ENSMUSG00000097267	1037.5
1700110C19Rik	ENSMUSG00000099384	698.5
1700110I01Rik	ENSMUSG00000079407	865.833333333333
1700110I07Rik	ENSMUSG00000108490	585
1700110K17Rik	ENSMUSG00000087047	832
1700111E14Rik	ENSMUSG00000029837	908
1700111N16Rik	ENSMUSG00000100511	1133
1700112D23Rik	ENSMUSG00000091329	422.5
1700112H15Rik	ENSMUSG00000101574	778
1700112J05Rik	ENSMUSG00000086632	793
1700112J16Rik	ENSMUSG00000097527	1288
1700112K13Rik	ENSMUSG00000087510	701
1700112L15Rik	ENSMUSG00000110577	510
1700112M02Rik	ENSMUSG00000113358	348
1700113A16Rik	ENSMUSG00000096935	775.333333333333
1700113B09Rik	ENSMUSG00000112028	577.333333333333
1700113B19Rik	ENSMUSG00000102822	420
